instruction,input,output
Report the incident with appropriate safety tip.,"I noticed a loud noise near 808 Huynh Cove Apt. 411, West Juan, VT 45443.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 740 Cynthia Village Suite 005, Lake Tina, WA 58413.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 011 Amy Village Suite 982, Andersonport, WY 05730.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near PSC 3315, Box 8692, APO AE 21800.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a vandalism near Unit 2602 Box 5634, DPO AE 92418.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 3375 Hoover Well, East Andrew, MO 43526.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 5868 Crosby Crescent, Gregoryview, CT 78694.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 9816 Jonathan Station Suite 088, West Ryan, MA 82179.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a pothole near 484 Nguyen Square, Angelaborough, TN 50196.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 946 Kevin Fords, Floydmouth, NV 58455.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 214 Davis Terrace Apt. 433, North Brandon, RI 10046.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 676 Dylan Spurs, Port Michelleville, NE 29184.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 83172 Contreras Points Suite 798, Rivasside, GA 97973.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 3487 Joshua Club Suite 345, Patricialand, FL 30812.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 316 Rivera Mountain, Brownchester, WI 77057.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a road hazard near USS Gates, FPO AP 50358.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 6688 Tracy Groves Suite 706, Elizabethfurt, GA 61762.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near PSC 9806, Box 9901, APO AP 56680.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 04653 Murphy Trace Suite 464, South Andrewside, MI 29890.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 33092 David Skyway, New Staciemouth, KS 48852.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 41904 Sanders Stravenue, North Brittany, SC 32331.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 919 Michael Meadow Suite 185, Port Robertfort, NE 47973.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 262 Gilbert Plain Suite 769, Marcusbury, CO 37060.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 9965 Troy Islands, South Jason, KS 45109.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a pothole near 083 John Lodge Suite 837, Westtown, LA 29546.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 9578 Coleman Summit, Michaelmouth, ME 33452.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 1823 Joanna Harbor, Tinaborough, IN 47802.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 824 Terri Plaza, Heidiberg, WV 64841.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 477 Peterson Center, Shelleyfort, CA 53022.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 29413 Angela Mall, Port Alexandra, NV 39475.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 9909 Stacey Fords Apt. 412, East Andrea, AL 54046.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 0344 Jones Fort Suite 936, New Jeffreyberg, KY 19144.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 9947 Taylor Hollow, Benderhaven, NM 57878.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 5940 Jeremy Spring, Port Emilyview, AZ 99626.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 2967 Theodore Lodge Suite 512, Robertfort, TN 52989.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 1545 Tara Lodge, Lake Mollymouth, AR 25087.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 703 Dunn Heights Suite 710, Lake Eric, AL 72885.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a pothole near 71274 Perry Orchard, Sanchezside, MS 25484.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a vandalism near PSC 8214, Box 6584, APO AE 37573.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 78755 Gibson Islands Apt. 396, Port Kimberly, MD 98110.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 2702 Kane Well Suite 187, Lake Douglasberg, NJ 35238.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 158 Finley Road Suite 809, East Crystalport, WA 12347.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 172 Berger Cape, Lauraport, MN 56951.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 222 Chelsea Light Apt. 792, South Dana, KS 87905.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 8217 Huerta Hills Suite 474, South Melissa, IA 50487.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 406 Smith Way Apt. 974, New Laurie, SC 25421.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 104 Johnson Lakes, North Renee, WA 54961.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 588 Rivas Glens, Coffeyport, MA 15596.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 36851 Smith Plain, South Miguelview, MS 84196.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a road hazard near USS Leonard, FPO AA 03781.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 317 Banks Crescent Apt. 004, Wilsonbury, ND 18282.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 869 Nicole Shoal Apt. 796, Antoniostad, NV 58788.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near USNV Garcia, FPO AP 48648.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 64317 Elizabeth Row Apt. 053, Port Anne, WV 73142.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 52904 Vanessa Plains, Laurenville, AK 17776.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 502 Williams Streets, Foxland, NV 47954.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 8390 Ellis Burgs, South Melaniechester, CT 64761.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 15921 Joshua Roads Suite 698, Shawnchester, WY 92484.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 7365 Ross Stream, West Ronaldview, FL 90524.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near PSC 1111, Box 6152, APO AP 08362.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 165 Parrish Stravenue Apt. 494, Dalehaven, FL 86580.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 8514 Lindsay Vista, New Sarahview, HI 36319.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 5022 Jones Streets Apt. 183, Barnesmouth, MN 41347.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 22901 Ramos Manors, Lawsonchester, IL 99452.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a pothole near 1497 Williams Locks Apt. 034, Port Derrick, LA 43508.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 622 Patel Forks Suite 160, Smithland, MD 75966.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a pothole near 641 Smith Islands Apt. 975, South Meganbury, OR 52988.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 5352 William Crescent Apt. 552, North Dwayne, HI 79458.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 77997 Lin Road, Edwardland, NV 83257.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 058 Lance Mission Apt. 054, Lake Michelleland, PA 66963.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 9359 Mason Circle, Garciamouth, CO 66633.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 77889 Michael Haven, Ortizmouth, PA 07364.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 51864 Cummings Shoals Apt. 519, West Kyle, UT 87288.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 8652 Debbie Manors, Andrewport, IL 45292.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a vandalism near USCGC Lee, FPO AE 20809.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 880 Walter River, New Nicholas, HI 91313.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 706 Rhodes Freeway, Bishopmouth, ND 31849.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 59774 Shaw Manor Apt. 392, Brettfort, MN 73185.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a gunshot near USS Mitchell, FPO AE 36256.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 1375 Robert Locks, Joeland, IN 04195.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 522 Justin Village, Hortonberg, VT 61988.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 04328 Rodriguez Heights, West David, MT 84249.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 17980 Jennifer Highway Suite 095, New Robert, TN 11722.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 88888 Peter Mountains Apt. 654, West Kristinastad, VA 86628.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 05852 Pollard Neck Apt. 217, West Jamesborough, AZ 41866.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near USCGC Hays, FPO AP 62550.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 5054 Lauren Mews, Paulfurt, HI 65539.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 416 Ryan View Apt. 845, North Markport, NV 79487.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 757 Jessica Knoll, Hillton, TN 84061.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 29702 Joel Rue, Michaelshire, PA 20612.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 7192 Sanders Run Suite 310, South April, OH 15936.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 739 Benson Overpass Apt. 121, Thompsonmouth, TX 42390.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 844 Jennifer Squares, Port Michael, DE 26843.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 0589 Mcdonald Plaza, New Nicole, ME 52688.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near Unit 7866 Box 9125, DPO AP 10221.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a pothole near 89226 Marie Path Apt. 422, Sarahbury, NC 37731.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 84249 Wayne Extension Apt. 299, Meganshire, AK 11147.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 396 Tyler Road Suite 473, Evansland, AR 21220.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 3592 Hensley Island Suite 625, West Johnville, NV 32996.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 6963 Lisa Ports, Jamesburgh, NY 61687.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 0168 Levy Forge Suite 004, Harperfort, ND 01572.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 45650 Williams Points Apt. 584, South Williamside, RI 89682.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 65585 James Pass, Porterton, DC 94032.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 729 Mark Ridge Suite 269, Brittneyhaven, NY 70275.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 0551 Silva Underpass Apt. 974, Lake Brett, GA 69213.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 30913 Scott Manor Apt. 636, Salaston, DC 68485.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 786 Frye Mount Suite 854, Leebury, OH 39625.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 3757 Castro Underpass Suite 419, Huangfurt, MI 19699.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 157 Burgess Forest Apt. 848, Derrickshire, IA 07154.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a pothole near 301 Rivera Mountains, Lake Kellitown, GA 53835.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 3454 Rebecca Corners Apt. 802, Khanburgh, AZ 52535.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 400 Bradley Coves, Justinside, NM 18090.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 3152 Wong Stravenue Apt. 054, East Cheryl, MO 56560.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 1227 Boyle Avenue, Patrickmouth, KY 43705.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 5301 Parker Lodge, Hannahport, RI 29448.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 2795 Miles Mountains, Port John, PA 11231.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 91088 Ashley Drive Apt. 587, Lake Jamieshire, CO 67396.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 2867 Angelica Spring, Jenniferfurt, AL 98255.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 65180 Valerie Mountains, West Robertberg, SD 96090.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a pothole near 6766 Felicia Shore Apt. 512, Ricebury, AL 99614.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 8686 John Key Apt. 431, Port Donnatown, IL 09320.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 9030 Gonzales Plains, Port Michelle, DC 66547.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
